ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,count
egovid-141,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming grapevine branches, demonstrating precision, maintaining vineyard","holding pruning shears, trimming grapevine branches, demonstrating precision, maintaining vineyard",,,,hold,pruning,hold,full,45
egovid-142,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, hold book, open book, read, flip pages","sit, hold book, open book, read, flip pages",,,,hold,book,hold,full,45
egovid-143,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, adjusting yarn","sitting, knitting, adjusting yarn",,,,sit,knitting,sit,full,45
egovid-144,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, flipping pages, adjusting position","sitting, reading book, flipping pages, adjusting position",,,,sit,reading,sit,full,45
egovid-145,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, preparing food, handling food, transferring food","sitting, preparing food, handling food, transferring food",,,,sit,food,sit,full,45
egovid-146,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming grapevine branches, demonstrating precision and care","holding pruning shears, trimming grapevine branches, demonstrating precision and care",,,,hold,pruning,hold,full,44
egovid-147,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting white door, holding paintbrush, holding paint can, applying paint, moving brush back and forth","painting white door, holding paintbrush, holding paint can, applying paint, moving brush back and forth",,,,hold,painting,hold,full,44
egovid-148,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, flipping pages","sitting, holding book, flipping pages",,,,sit,book,sit,full,44
egovid-149,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"molding clay, shaping clay, placing clay, pressing clay, removing clay","molding clay, shaping clay, placing clay, pressing clay, removing clay",,,,place,molding,place,full,44
egovid-150,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading Kindle, adjusting position","lying, reading kindle, adjusting position",,,,lying,lying,lying,full,44
egovid-151,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on table saw, adjusting wood, aligning wood for cutting","holding wood, positioning wood on table saw, adjusting wood, aligning wood for cutting",,,,hold,wood,hold,full,43
egovid-152,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling cards, making moves, observing game","handling cards, making moves, observing game",,,,handle,cards,handle,full,43
egovid-153,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling cards, shuffling, dealing","sitting, handling cards, shuffling, dealing",,,,sit,cards,sit,full,43
egovid-154,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, sniff ground","walk dog, sniff ground",,,,walk,walk,walk,full,43
egovid-155,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, shuffling/arranging cards","sitting, holding deck of cards, shuffling/arranging cards",,,,sit,deck,sit,full,43
egovid-156,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading book, flipping pages","lying, reading book, flipping pages",,,,lying,lying,lying,full,43
egovid-157,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"standing, holding chainsaw, cutting branches, maneuvering chainsaw","standing, holding chainsaw, cutting branches, maneuvering chainsaw",,,,stand,chainsaw,stand,full,42
egovid-158,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, use sponge, clean thoroughly","wash dishes, scrub bowl, use sponge, clean thoroughly",,,,wash,dishes,wash,full,42
egovid-159,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, crocheting, glancing at smartphone","sitting, crocheting, glancing at smartphone",,,,sit,crocheting,sit,full,42
egovid-160,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"participate in card game, handle cards, make strategic moves","participate in card game, handle cards, make strategic moves",,,,handle,participate,handle,full,41
egovid-161,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"prune grapevines, use pruning shears, move methodically, cut branches","prune grapevines, use pruning shears, move methodically, cut branches",,,,use,prune,use,full,41
egovid-162,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding open book, reading","sitting, holding open book, reading",,,,sit,book,sit,full,41
egovid-163,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting, holding paintbrush, adding details","painting, holding paintbrush, adding details",,,,hold,painting,hold,full,41
egovid-164,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting canvas, holding paintbrush, applying blue paint","painting canvas, holding paintbrush, applying blue paint",,,,hold,painting,hold,full,41
egovid-165,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"prune grapevines, move methodically, cut branches, use pruning shears","prune grapevines, move methodically, cut branches, use pruning shears",,,,move,prune,move,full,41
egovid-166,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, handle cards, arrange cards","sit, handle cards, arrange cards",,,,handle,cards,handle,full,41
egovid-167,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, rinse bowl","wash dishes, scrub bowl, rinse bowl",,,,wash,dishes,wash,full,40
egovid-168,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming branches, demonstrating methodical approach","holding pruning shears, trimming branches, demonstrating methodical approach",,,,hold,pruning,hold,full,40
egovid-169,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, crocheting, manipulating crochet hook, creating stitches","sitting, crocheting, manipulating crochet hook, creating stitches",,,,sit,crocheting,sit,full,40
egovid-170,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"picking up puzzle pieces, placing puzzle pieces, solving jigsaw puzzle","picking up puzzle pieces, placing puzzle pieces, solving jigsaw puzzle",,,,place,picking,place,full,40
egovid-171,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding paintbrush, adding details, refining painting, focusing on details, demonstrating dedication and skill","holding paintbrush, adding details, refining painting, focusing on details, demonstrating dedication and skill",,,,hold,paintbrush,hold,full,40
egovid-172,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, remove mold, reveal brick, place brick","hold mold, place mold, press mold, remove mold, reveal brick, place brick",,,,hold,mold,hold,full,40
egovid-173,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, arranging cards, handling cards, picking up cards, moving cards","sitting, arranging cards, handling cards, picking up cards, moving cards",,,,sit,cards,sit,full,40
egovid-174,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, reach, pick up, examine","sit, reach, pick up, examine",,,,reach,sit,reach,full,39
egovid-175,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"browsing clothes, moving hangers, examining items","browsing clothes, moving hangers, examining items",,,,move,browsing,move,full,39
egovid-176,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding plank, positioning plank, adjusting plank, aligning plank","holding plank, positioning plank, adjusting plank, aligning plank",,,,hold,plank,hold,full,39
egovid-177,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"operating sewing machine, guiding fabric, adjusting fabric, sewing","operating sewing machine, guiding fabric, adjusting fabric, sewing",,,,operating,operating,operating,full,39
egovid-178,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walking, holding pruning shears, trimming branches","walking, holding pruning shears, trimming branches",,,,walk,pruning,walk,full,39
egovid-179,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading book, turning pages","lying, reading book, turning pages",,,,lying,lying,lying,full,39
egovid-180,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, reading","sitting, holding book, reading",,,,sit,book,sit,full,39
egovid-181,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold leash, move forward","walk dog, hold leash, move forward",,,,hold,walk,hold,full,39
egovid-182,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, remove mold, reveal brick, place brick","hold mold, remove mold, reveal brick, place brick",,,,hold,mold,hold,full,39
egovid-183,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding metal, adjusting metal, grinding metal","holding metal, adjusting metal, grinding metal",,,,hold,metal,hold,full,39
egovid-184,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting canvas, holding paintbrush, adding details","painting canvas, holding paintbrush, adding details",,,,hold,painting,hold,full,38
egovid-185,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding cards, shuffling cards, dealing cards","holding cards, shuffling cards, dealing cards",,,,hold,cards,hold,full,38
egovid-186,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, holding card","shuffling cards, dealing cards, holding card",,,,hold,shuffling,hold,full,38
egovid-187,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, shuffling cards, dealing cards, handling cards","sitting, shuffling cards, dealing cards, handling cards",,,,sit,shuffling,sit,full,38
egovid-188,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walking, holding pruning shears, trimming grapevines","walking, holding pruning shears, trimming grapevines",,,,walk,pruning,walk,full,38
egovid-189,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, organizing/shuffling cards","sitting, holding deck of cards, organizing/shuffling cards",,,,sit,deck,sit,full,38
egovid-190,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading book, adjusting position","lying, reading book, adjusting position",,,,lying,lying,lying,full,38
egovid-191,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold leash, carry green object","walk dog, hold leash, carry green object",,,,hold,walk,hold,full,38
egovid-192,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding shears, holding branch, cutting branch","holding shears, holding branch, cutting branch",,,,hold,shears,hold,full,38
egovid-193,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, holding phone","shuffling cards, dealing cards, holding phone",,,,hold,shuffling,hold,full,38
egovid-194,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving arms, hitting drums and cymbals","playing drum set, using drumsticks, moving arms, hitting drums and cymbals",,,,use,playing,use,full,37
egovid-195,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding smartphone, recording, taking photo","holding smartphone, recording, taking photo",,,,hold,smartphone,hold,full,37
egovid-196,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, hold stack of cards","shuffle cards, deal cards, hold stack of cards",,,,hold,shuffle,hold,full,37
egovid-197,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paint roller, applying paint, moving roller back and forth","painting wall, holding paint roller, applying paint, moving roller back and forth",,,,hold,painting,hold,full,37
egovid-198,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting ceiling, holding paint roller, applying paint, moving roller back and forth","painting ceiling, holding paint roller, applying paint, moving roller back and forth",,,,hold,painting,hold,full,37
egovid-199,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, observing game","shuffling cards, dealing cards, observing game",,,,shuffling,shuffling,shuffling,full,37
egovid-200,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling deck, holding cards","shuffling deck, holding cards",,,,hold,shuffling,hold,full,37
egovid-201,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding cards, shuffling deck","holding cards, shuffling deck",,,,hold,cards,hold,full,37
egovid-202,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, crocheting, glancing","sitting, crocheting, glancing",,,,sit,crocheting,sit,full,37
egovid-203,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"washing dishes, scrubbing pot, rinsing sponge","washing dishes, scrubbing pot, rinsing sponge",,,,wash,dishes,wash,full,37
egovid-204,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"reach into refrigerator, move items around, search for something","reach into refrigerator, move items around, search for something",,,,reach,into,reach,full,37
egovid-205,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub plate, move dishes to drying rack","wash dishes, scrub plate, move dishes to drying rack",,,,wash,dishes,wash,full,37
egovid-206,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, clean thoroughly","wash dishes, scrub bowl, clean thoroughly",,,,wash,dishes,wash,full,37
egovid-207,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"reach out, pick up book","reach out, pick up book",,,,reach,book,reach,full,37
egovid-208,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing keyboard, hands pressing keys","playing keyboard, hands pressing keys",,,,playing,playing,playing,full,37
egovid-209,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing game, manipulating keyboard, manipulating mouse","playing game, manipulating keyboard, manipulating mouse",,,,playing,playing,playing,full,37
egovid-210,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding cylindrical object, using hot glue gun, applying glue","sitting, holding cylindrical object, using hot glue gun, applying glue",,,,sit,cylindrical,sit,full,37
egovid-211,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying on bed, reading book, holding book with both hands","lying on bed, reading book, holding book with both hands",,,,hold,lying,hold,full,37
egovid-212,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck, shuffling cards, dealing cards","sitting, holding deck, shuffling cards, dealing cards",,,,sit,deck,sit,full,36
egovid-213,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, hold card","shuffle cards, deal cards, hold card",,,,hold,shuffle,hold,full,36
egovid-214,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, working with yarn, manipulating yarn, creating stitches","sitting, knitting, working with yarn, manipulating yarn, creating stitches",,,,sit,knitting,sit,full,36
egovid-215,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"stand, gesture, explain","stand, gesture, explain",,,,stand,stand,stand,full,36
egovid-216,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash hands, rub hands together","wash hands, rub hands together",,,,wash,hands,wash,full,36
egovid-217,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold leash, carry object","walk dog, hold leash, carry object",,,,hold,walk,hold,full,36
egovid-218,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub pot, rinse pot, place pot","wash dishes, scrub pot, rinse pot, place pot",,,,wash,dishes,wash,full,36
egovid-219,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"plant small green plant, cover with soil, pat down gently","plant small green plant, cover with soil, pat down gently",,,,plant,plant,plant,full,36
egovid-220,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold dart, throw dart, hit bullseye","hold dart, throw dart, hit bullseye",,,,hold,dart,hold,full,36
egovid-221,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"working on fabric, placing beads, hands adorned with bangles","working on fabric, placing beads, hands adorned with bangles",,,,work,fabric,work,full,36
egovid-222,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"knead dough, shape dough, press dough, fold dough","knead dough, shape dough, press dough, fold dough",,,,press,knead,press,full,35
egovid-223,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood, adjusting wood, securing wood","holding wood, positioning wood, adjusting wood, securing wood",,,,hold,wood,hold,full,35
egovid-224,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub plate, move dishes to rack","wash dishes, scrub plate, move dishes to rack",,,,wash,dishes,wash,full,35
egovid-225,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, handle cards","shuffle cards, deal cards, handle cards",,,,handle,shuffle,handle,full,35
egovid-226,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, adjust leash, look down at dog","walk dog, adjust leash, look down at dog",,,,adjust,walk,adjust,full,35
egovid-227,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding paint roller, applying white paint, moving roller back and forth, ensuring even coat","holding paint roller, applying white paint, moving roller back and forth, ensuring even coat",,,,hold,paint,hold,full,35
egovid-228,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming grapevine, making precise cuts","holding pruning shears, trimming grapevine, making precise cuts",,,,hold,pruning,hold,full,35
egovid-229,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"ironing fabric, moving iron back and forth, smoothing out wrinkles","ironing fabric, moving iron back and forth, smoothing out wrinkles",,,,move,ironing,move,full,35
egovid-230,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"molding clay, shaping clay, placing clay, pressing clay","molding clay, shaping clay, placing clay, pressing clay",,,,place,molding,place,full,35
egovid-231,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, remove excess cement, lift mold, reveal brick, place brick","hold mold, place mold, press mold, remove excess cement, lift mold, reveal brick, place brick",,,,hold,mold,hold,full,35
egovid-232,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding cylindrical object, using hot glue gun, applying glue, securing twine","sitting, holding cylindrical object, using hot glue gun, applying glue, securing twine",,,,sit,cylindrical,sit,full,35
egovid-233,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paintbrush, applying paint, moving brush, ensuring even coat","painting wall, holding paintbrush, applying paint, moving brush, ensuring even coat",,,,hold,painting,hold,full,34
egovid-234,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming branches, moving methodically, cutting sections","holding pruning shears, trimming branches, moving methodically, cutting sections",,,,hold,pruning,hold,full,34
egovid-235,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, examining branch, turning branch, cutting branch","holding pruning shears, examining branch, turning branch, cutting branch",,,,hold,pruning,hold,full,34
egovid-236,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming branch, demonstrating methodical approach","holding pruning shears, trimming branch, demonstrating methodical approach",,,,hold,pruning,hold,full,34
egovid-237,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub pot, rinse pot","wash dishes, scrub pot, rinse pot",,,,wash,dishes,wash,full,34
egovid-238,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, playing board game, moving pieces","sitting, playing board game, moving pieces",,,,sit,playing,sit,full,34
egovid-239,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, solving jigsaw puzzle, picking up pieces, examining pieces","sitting, solving jigsaw puzzle, picking up pieces, examining pieces",,,,sit,solving,sit,full,34
egovid-240,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, remove mold, reveal brick, place brick","hold mold, place mold, remove mold, reveal brick, place brick",,,,hold,mold,hold,full,34
egovid-241,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, moving hands, reading sheet music","playing piano, moving hands, reading sheet music",,,,move,playing,move,full,34
egovid-242,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, preparing food, handling vegetables, transferring vegetables","sitting, preparing food, handling vegetables, transferring vegetables",,,,sit,food,sit,full,34
egovid-243,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting watercolor, holding paintbrush, adding details","painting watercolor, holding paintbrush, adding details",,,,hold,painting,hold,full,33
egovid-244,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, converse, gesture","sit, converse, gesture",,,,sit,converse,sit,full,33
egovid-245,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling cards, shuffling cards, dealing cards, observing game","handling cards, shuffling cards, dealing cards, observing game",,,,handle,cards,handle,full,33
egovid-246,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"reach out, pick up book, hold book","reach out, pick up book, hold book",,,,reach,book,reach,full,33
egovid-247,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding paint roller, applying white paint, moving roller up and down, ensuring even coat","holding paint roller, applying white paint, moving roller up and down, ensuring even coat",,,,hold,paint,hold,full,33
egovid-248,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walking, holding pruning shears, cutting branches","walking, holding pruning shears, cutting branches",,,,walk,pruning,walk,full,33
egovid-249,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, engaged in card game","sitting, holding deck of cards, engaged in card game",,,,sit,deck,sit,full,33
egovid-250,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"washing dishes, scrubbing bowl, rinsing sponge","washing dishes, scrubbing bowl, rinsing sponge",,,,wash,dishes,wash,full,33
egovid-251,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting purple yarn, adjusting position","sitting, knitting purple yarn, adjusting position",,,,sit,knitting,sit,full,33
egovid-252,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting white door, holding paintbrush, applying paint, moving brush up and down","painting white door, holding paintbrush, applying paint, moving brush up and down",,,,hold,painting,hold,full,33
egovid-253,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"ironing shirt, adjusting shirt, smoothing out shirt","ironing shirt, adjusting shirt, smoothing out shirt",,,,smooth,ironing,smooth,full,33
egovid-254,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing electronic keyboard, hands pressing keys, screens displaying controls","playing electronic keyboard, hands pressing keys, screens displaying controls",,,,playing,playing,playing,full,33
egovid-255,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling deck of cards, shuffling cards, arranging cards","sitting, handling deck of cards, shuffling cards, arranging cards",,,,sit,deck,sit,full,32
egovid-256,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash hands, rub hands, turn off faucet, dry hands","wash hands, rub hands, turn off faucet, dry hands",,,,wash,hands,wash,full,32
egovid-257,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, arranging dominoes, playing game","sitting, arranging dominoes, playing game",,,,sit,dominoes,sit,full,32
egovid-258,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting ceiling, holding paintbrush, applying paint, moving brush back and forth","painting ceiling, holding paintbrush, applying paint, moving brush back and forth",,,,hold,painting,hold,full,32
egovid-259,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paint roller, applying white paint, moving roller up and down","painting wall, holding paint roller, applying white paint, moving roller up and down",,,,hold,painting,hold,full,32
egovid-260,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, move dishes to rack","wash dishes, scrub bowl, move dishes to rack",,,,wash,dishes,wash,full,32
egovid-261,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, remove excess clay, lift mold, reveal brick, place brick","hold mold, place mold, press mold, remove excess clay, lift mold, reveal brick, place brick",,,,hold,mold,hold,full,32
egovid-262,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"using sewing machine, sewing fabric, guiding fabric, aligning fabric, making adjustments","using sewing machine, sewing fabric, guiding fabric, aligning fabric, making adjustments",,,,use,sewing,use,full,32
egovid-263,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, remove mold, reveal brick, place brick, place mold","hold mold, remove mold, reveal brick, place brick, place mold",,,,hold,mold,hold,full,32
egovid-264,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding smartphone, writing in notebook, alternating between looking at smartphone and writing","sitting, holding smartphone, writing in notebook, alternating between looking at smartphone and writing",,,,sit,smartphone,sit,full,32
egovid-265,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"working on fabric, placing beads, hands engaged in beadwork","working on fabric, placing beads, hands engaged in beadwork",,,,work,fabric,work,full,32
egovid-266,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"pick up pieces, place pieces, solve puzzle","pick up pieces, place pieces, solve puzzle",,,,pick,pieces,pick,full,32
egovid-267,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, holding drumsticks, moving arms rhythmically","playing drum set, holding drumsticks, moving arms rhythmically",,,,hold,playing,hold,full,31
egovid-268,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling cards, shuffling cards, arranging cards","handling cards, shuffling cards, arranging cards",,,,handle,cards,handle,full,31
egovid-269,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"standing, holding wood, adjusting wood, aligning wood","standing, holding wood, adjusting wood, aligning wood",,,,stand,wood,stand,full,31
egovid-270,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, holding yarn, manipulating yarn, creating stitches","sitting, knitting, holding yarn, manipulating yarn, creating stitches",,,,sit,knitting,sit,full,31
egovid-271,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding smartphone, recording, taking pictures","holding smartphone, recording, taking pictures",,,,hold,smartphone,hold,full,31
egovid-272,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on workbench, adjusting wood, aligning wood","holding wood, positioning wood on workbench, adjusting wood, aligning wood",,,,hold,wood,hold,full,31
egovid-273,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"chop vegetables, adjust grip, prepare food","chop vegetables, adjust grip, prepare food",,,,adjust,chop,adjust,full,31
egovid-274,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding small object, engaged in activity","sitting, holding small object, engaged in activity",,,,sit,small,sit,full,31
egovid-275,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting white door, holding paintbrush, holding paint can, applying paint, moving brush up and down","painting white door, holding paintbrush, holding paint can, applying paint, moving brush up and down",,,,hold,painting,hold,full,31
egovid-276,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"cutting fabric, adjusting fabric, using scissors","cutting fabric, adjusting fabric, using scissors",,,,cut,fabric,cut,full,31
egovid-277,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub dishes, rinse dishes, place dishes in rack","wash dishes, scrub dishes, rinse dishes, place dishes in rack",,,,wash,dishes,wash,full,31
egovid-278,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"chop onion, adjust grip, prepare food","chop onion, adjust grip, prepare food",,,,adjust,chop,adjust,full,31
egovid-279,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"molding clay, shaping clay, placing clay, pressing clay, smoothing clay","molding clay, shaping clay, placing clay, pressing clay, smoothing clay",,,,place,molding,place,full,31
egovid-280,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving arms, hitting drums","playing drum set, using drumsticks, moving arms, hitting drums",,,,use,playing,use,full,31
egovid-281,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"ironing shirt, adjusting shirt, using iron","ironing shirt, adjusting shirt, using iron",,,,use,ironing,use,full,31
egovid-282,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, working with yarn, hands moving deftly","sitting, knitting, working with yarn, hands moving deftly",,,,sit,knitting,sit,full,31
