ann_id,annotation_type,stream,text,text_zh,t_start,t_end,clip_id,verb,noun,verb_category,work,source_dataset,split,text_clean,seg_dur_s
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:25,atomic-substep,primitive_task,Spread the tomato sauce on the bread with the spoon.,用调羹在面包上涂抹番茄酱。,233.467,244.408,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,spread,sauce,distribute,OakInk2,OakInk2,full,spread the tomato sauce on the bread with the spoon.,10.941
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:3,atomic-substep,primitive_task,Place the bread inside the plate.,将面包放入碟子。,38.525,43.392,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,place,bread,leave,OakInk2,OakInk2,full,place the bread inside the plate.,4.867
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:7,atomic-substep,primitive_task,Scoop the cheese with the spoon from the gray-green porcelain bottle to the plate.,用调羹将芝士从灰绿色瓷瓶舀到碟子。,62.075,90.592,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,scoop,cheese,retrieve,OakInk2,OakInk2,full,scoop the cheese with the spoon from the gray-green porcelain bottle to the plate.,28.517
prim:scene_01__A003++seq__d7c333b80728391e47c7__2023-04-16-10-44-48:0,atomic-substep,primitive_task,Pour the content from the large black and yellow striped bottle to the bowl.,将内容从大的黑黄条纹瓶倒到碗。,10.517,29.458,scene_01__A003++seq__d7c333b80728391e47c7__2023-04-16-10-44-48,pour,content,merge,OakInk2,OakInk2,full,pour the content from the large black and yellow striped bottle to the bowl.,18.941
prim:scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07:0,atomic-substep,primitive_task,Pour the content from the large black and yellow striped bottle to the bowl.,将内容从大的黑黄条纹瓶倒到碗。,10.433,31.008,scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07,pour,content,merge,OakInk2,OakInk2,full,pour the content from the large black and yellow striped bottle to the bowl.,20.575
prim:scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07:2,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,35.117,44.05,scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,8.933
prim:scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07:4,atomic-substep,primitive_task,Press the button on the microwave oven.,按下微波炉上的按钮。,58.733,60.3,scene_01__A003++seq__de088ef0fd274c39348d__2023-04-18-10-11-07,press,button,access,OakInk2,OakInk2,full,press the button on the microwave oven.,1.567
prim:scene_01__A003++seq__e76b290b0440c2db3e27__2023-04-15-11-27-51:6,atomic-substep,primitive_task,Screw the cap onto the blue striped bottle.,拧紧蓝色条纹瓶的盖子。,75.1,98.55,scene_01__A003++seq__e76b290b0440c2db3e27__2023-04-15-11-27-51,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the blue striped bottle.,23.45
prim:scene_01__A003++seq__e9343c38e6f388976d31__2023-04-18-09-25-33:0,atomic-substep,primitive_task,Place the plate onto the platform of the scale.,将碟子放置于秤的平台上。,10.583,16.792,scene_01__A003++seq__e9343c38e6f388976d31__2023-04-18-09-25-33,place,plate,leave,OakInk2,OakInk2,full,place the plate onto the platform of the scale.,6.209
prim:scene_01__A003++seq__e9343c38e6f388976d31__2023-04-18-09-25-33:2,atomic-substep,primitive_task,Pour the content from the yellow mug to the plate.,将内容从黄色马克杯倒到碟子。,29.3,45.042,scene_01__A003++seq__e9343c38e6f388976d31__2023-04-18-09-25-33,pour,content,merge,OakInk2,OakInk2,full,pour the content from the yellow mug to the plate.,15.742
prim:scene_01__A003++seq__ea24dfc157269667cf93__2023-04-18-10-38-42:2,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,52.825,57.058,scene_01__A003++seq__ea24dfc157269667cf93__2023-04-18-10-38-42,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,4.233
prim:scene_01__A003++seq__ea24dfc157269667cf93__2023-04-18-10-38-42:3,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,62.6,71.767,scene_01__A003++seq__ea24dfc157269667cf93__2023-04-18-10-38-42,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,9.167
prim:scene_01__A003++seq__ebf4620c54f1ee2c0e8b__2023-04-16-11-01-15:2,atomic-substep,primitive_task,Place the pear inside the fryingpan.,将梨放入平底锅。,36.017,43.658,scene_01__A003++seq__ebf4620c54f1ee2c0e8b__2023-04-16-11-01-15,place,pear,leave,OakInk2,OakInk2,full,place the pear inside the fryingpan.,7.641
prim:scene_01__A003++seq__ebf4620c54f1ee2c0e8b__2023-04-16-11-01-15:4,atomic-substep,primitive_task,Pour the seasonings from the green striped bottle to the fryingpan.,将调味料从绿色条纹瓶倒到平底锅。,50.967,74.35,scene_01__A003++seq__ebf4620c54f1ee2c0e8b__2023-04-16-11-01-15,pour,seasonings,merge,OakInk2,OakInk2,full,pour the seasonings from the green striped bottle to the fryingpan.,23.383
prim:scene_01__A003++seq__f3fe28de4f8d44ca2680__2023-04-15-10-02-53:0,atomic-substep,primitive_task,Place the plate onto the platform of the scale.,将碟子放置于秤的平台上。,9.242,16.175,scene_01__A003++seq__f3fe28de4f8d44ca2680__2023-04-15-10-02-53,place,plate,leave,OakInk2,OakInk2,full,place the plate onto the platform of the scale.,6.933
prim:scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26:3,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,33.8,38.4,scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,4.6
prim:scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26:6,atomic-substep,primitive_task,Take the plate outside the microwave oven.,将碟子拿出微波炉。,76.2,83.6,scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26,take,plate,retrieve,OakInk2,OakInk2,full,take the plate outside the microwave oven.,7.4
prim:scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26:9,atomic-substep,primitive_task,Take the spoon outside tool rack.,将调羹拿出工具架。,133.908,144.183,scene_01__A003++seq__f4587e673c3df708d53a__2023-04-21-19-33-26,take,spoon,retrieve,OakInk2,OakInk2,full,take the spoon outside tool rack.,10.275
prim:scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10:0,atomic-substep,primitive_task,Rearrange the blue cup from one position to another position.,将蓝色茶杯从一个位置移动到另一个位置。,6.3,10.642,scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10,rearrange,cup,manipulate,OakInk2,OakInk2,full,rearrange the blue cup from one position to another position.,4.342
prim:scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10:3,atomic-substep,primitive_task,Screw the cap onto the large white bottle.,拧紧大的白色瓶的盖子。,40.292,47.008,scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the large white bottle.,6.716
prim:scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10:8,atomic-substep,primitive_task,Scoop the tea powder with the spoon from the gray-green porcelain bottle to the blue cup.,用调羹将茶粉从灰绿色瓷瓶舀到蓝色茶杯。,69.358,83.092,scene_01__A005++seq__292669123693a19994f3__2023-04-24-20-08-10,scoop,powder,retrieve,OakInk2,OakInk2,full,scoop the tea powder with the spoon from the gray-green porcelain bottle to the blue cup.,13.734
prim:scene_01__A005++seq__529d7c756240d5a9d5b3__2023-04-24-18-30-05:6,atomic-substep,primitive_task,Grip the apple slice with the tongs from the scale to the plate.,用夹子将苹果片从秤夹到碟子。,47.517,54.858,scene_01__A005++seq__529d7c756240d5a9d5b3__2023-04-24-18-30-05,grip,slice,retrieve,OakInk2,OakInk2,full,grip the apple slice with the tongs from the scale to the plate.,7.341
prim:scene_01__A005++seq__529d7c756240d5a9d5b3__2023-04-24-18-30-05:7,atomic-substep,primitive_task,Grip the ice cubes with the tongs from the plate to another plate.,用夹子将冰块从碟子夹到另一个碟子。,54.858,77.475,scene_01__A005++seq__529d7c756240d5a9d5b3__2023-04-24-18-30-05,grip,cubes,retrieve,OakInk2,OakInk2,full,grip the ice cubes with the tongs from the plate to another plate.,22.617
prim:scene_01__A005++seq__7ed08a502cc8212fcea1__2023-04-15-14-30-06:0,atomic-substep,primitive_task,Uncap the gray-green porcelain bottle.,掀开灰绿色瓷瓶的盖子。,3.825,9.633,scene_01__A005++seq__7ed08a502cc8212fcea1__2023-04-15-14-30-06,uncap,bottle,access,OakInk2,OakInk2,full,uncap the gray-green porcelain bottle.,5.808
prim:scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57:10,atomic-substep,primitive_task,Unscrew the cap of the green striped bottle.,拧开绿色条纹瓶的盖子。,73.733,83.0,scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the green striped bottle.,9.267
prim:scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57:16,atomic-substep,primitive_task,Stir in the blue cup with the rod.,用搅拌棒在蓝色茶杯中搅拌。,156.492,170.833,scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57,stir,rod,merge,OakInk2,OakInk2,full,stir in the blue cup with the rod.,14.341
prim:scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57:2,atomic-substep,primitive_task,Press the button on the scale.,按下秤上的按钮。,18.058,18.425,scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57,press,button,access,OakInk2,OakInk2,full,press the button on the scale.,0.367
prim:scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57:4,atomic-substep,primitive_task,Press the button on the scale.,按下秤上的按钮。,21.325,21.625,scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57,press,button,access,OakInk2,OakInk2,full,press the button on the scale.,0.3
prim:scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57:9,atomic-substep,primitive_task,Hold the green striped bottle to the position.,用手抓握绿色条纹瓶并保持位置。,71.258,74.267,scene_01__A005++seq__86fb02fdc014aad9042d__2023-04-15-16-00-57,hold,bottle,retrieve,OakInk2,OakInk2,full,hold the green striped bottle to the position.,3.009
prim:scene_01__A005++seq__aac9de080442d7bb75be__2023-04-15-14-48-14:3,atomic-substep,primitive_task,Place the spoon inside the plate.,将调羹放入碟子。,23.825,26.2,scene_01__A005++seq__aac9de080442d7bb75be__2023-04-15-14-48-14,place,spoon,leave,OakInk2,OakInk2,full,place the spoon inside the plate.,2.375
prim:scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27:2,atomic-substep,primitive_task,Pour the milk from the large white bottle to the blue cup.,将牛奶从大的白色瓶倒到蓝色茶杯。,23.408,35.35,scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27,pour,milk,merge,OakInk2,OakInk2,full,pour the milk from the large white bottle to the blue cup.,11.942
prim:scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27:4,atomic-substep,primitive_task,Uncap the gray-green porcelain bottle.,掀开灰绿色瓷瓶的盖子。,41.192,45.825,scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27,uncap,bottle,access,OakInk2,OakInk2,full,uncap the gray-green porcelain bottle.,4.633
prim:scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27:6,atomic-substep,primitive_task,Cap the gray-green porcelain bottle.,盖上灰绿色瓷瓶的盖子。,56.1,59.167,scene_01__A005++seq__cd0aeb52231c8eb7e6d2__2023-04-24-20-01-27,cap,bottle,access,OakInk2,OakInk2,full,cap the gray-green porcelain bottle.,3.067
prim:scene_01__A007++seq__0b666c7b299d875e5f1e__2023-04-21-11-38-16:11,atomic-substep,primitive_task,Screw the cap onto the yellow striped bottle.,拧紧黄色条纹瓶的盖子。,120.783,130.092,scene_01__A007++seq__0b666c7b299d875e5f1e__2023-04-21-11-38-16,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the yellow striped bottle.,9.309
prim:scene_01__A007++seq__26fd908ae5324a664d27__2023-04-21-10-57-35:0,atomic-substep,primitive_task,Cut the pear with the orange cleaver knife.,用橙色菜刀切梨。,5.633,12.775,scene_01__A007++seq__26fd908ae5324a664d27__2023-04-21-10-57-35,cut,pear,split,OakInk2,OakInk2,full,cut the pear with the orange cleaver knife.,7.142
prim:scene_01__A007++seq__26fd908ae5324a664d27__2023-04-21-10-57-35:1,atomic-substep,primitive_task,Rearrange the pear from one position to another position.,将梨从一个位置移动到另一个位置。,13.442,14.808,scene_01__A007++seq__26fd908ae5324a664d27__2023-04-21-10-57-35,rearrange,pear,manipulate,OakInk2,OakInk2,full,rearrange the pear from one position to another position.,1.366
prim:scene_01__A007++seq__2979cde795c345f5b70b__2023-04-21-10-35-54:0,atomic-substep,primitive_task,Stir in the blue cup with the rod.,用搅拌棒在蓝色茶杯中搅拌。,6.0,19.342,scene_01__A007++seq__2979cde795c345f5b70b__2023-04-21-10-35-54,stir,rod,merge,OakInk2,OakInk2,full,stir in the blue cup with the rod.,13.342
prim:scene_01__A007++seq__a4e00c1df88966b407a0__2023-04-21-11-42-43:3,atomic-substep,primitive_task,Unscrew the cap of the large white bottle.,拧开大的白色瓶的盖子。,41.117,53.233,scene_01__A007++seq__a4e00c1df88966b407a0__2023-04-21-11-42-43,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the large white bottle.,12.116
prim:scene_01__A007++seq__a4e00c1df88966b407a0__2023-04-21-11-42-43:8,atomic-substep,primitive_task,Stir in the blue cup with the spoon.,用调羹在蓝色茶杯中搅拌。,92.167,98.1,scene_01__A007++seq__a4e00c1df88966b407a0__2023-04-21-11-42-43,stir,spoon,merge,OakInk2,OakInk2,full,stir in the blue cup with the spoon.,5.933
prim:scene_01__A007++seq__c8881ca3dc9cacb8a200__2023-04-21-10-19-58:0,atomic-substep,primitive_task,Unscrew the cap of the red striped bottle.,拧开红色条纹瓶的盖子。,5.758,15.633,scene_01__A007++seq__c8881ca3dc9cacb8a200__2023-04-21-10-19-58,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the red striped bottle.,9.875
prim:scene_01__A008++seq__5a0652d1d9856f7991ec__2023-04-23-11-35-38:0,atomic-substep,primitive_task,Uncap the porcelain teapot.,掀开瓷茶壶的盖子。,3.767,9.075,scene_01__A008++seq__5a0652d1d9856f7991ec__2023-04-23-11-35-38,uncap,teapot,access,OakInk2,OakInk2,full,uncap the porcelain teapot.,5.308
prim:scene_01__A008++seq__61886a6456bb8cad10b4__2023-05-09-19-17-58:2,atomic-substep,primitive_task,Place the bowl inside the microwave oven.,将碗放入微波炉。,19.767,27.042,scene_01__A008++seq__61886a6456bb8cad10b4__2023-05-09-19-17-58,place,bowl,leave,OakInk2,OakInk2,full,place the bowl inside the microwave oven.,7.275
prim:scene_01__A008++seq__61886a6456bb8cad10b4__2023-05-09-19-17-58:4,atomic-substep,primitive_task,Press the button on the microwave oven.,按下微波炉上的按钮。,39.583,41.083,scene_01__A008++seq__61886a6456bb8cad10b4__2023-05-09-19-17-58,press,button,access,OakInk2,OakInk2,full,press the button on the microwave oven.,1.5
prim:scene_01__O001++seq__2003401fe2e41e9faf6d__2023-04-13-19-37-20:3,atomic-substep,primitive_task,Scoop the content with the spoon from the plate to another plate.,用调羹将内容从碟子舀到另一个碟子。,20.842,35.142,scene_01__O001++seq__2003401fe2e41e9faf6d__2023-04-13-19-37-20,scoop,content,retrieve,OakInk2,OakInk2,full,scoop the content with the spoon from the plate to another plate.,14.3
prim:scene_01__O001++seq__2003401fe2e41e9faf6d__2023-04-13-19-37-20:4,atomic-substep,primitive_task,Rearrange the plate from one position to another position.,将碟子从一个位置移动到另一个位置。,35.142,38.575,scene_01__O001++seq__2003401fe2e41e9faf6d__2023-04-13-19-37-20,rearrange,plate,manipulate,OakInk2,OakInk2,full,rearrange the plate from one position to another position.,3.433
prim:scene_01__O001++seq__453b72e65d60f319b672__2023-04-13-19-34-00:0,atomic-substep,primitive_task,Place the fork and the spoon inside the plate.,将叉子和调羹放入碟子。,5.508,12.983,scene_01__O001++seq__453b72e65d60f319b672__2023-04-13-19-34-00,place,fork,leave,OakInk2,OakInk2,full,place the fork and the spoon inside the plate.,7.475
prim:scene_01__O001++seq__5c9130f2eacf1fd06097__2023-04-13-20-15-39:1,atomic-substep,primitive_task,Rearrange the bread from one position to another position.,将面包从一个位置移动到另一个位置。,8.325,11.367,scene_01__O001++seq__5c9130f2eacf1fd06097__2023-04-13-20-15-39,rearrange,bread,manipulate,OakInk2,OakInk2,full,rearrange the bread from one position to another position.,3.042
prim:scene_01__O001++seq__8ec658be365180b783c2__2023-04-13-19-04-55:0,atomic-substep,primitive_task,Unscrew the cap of the large black and yellow striped bottle.,拧开大的黑黄条纹瓶的盖子。,8.925,20.933,scene_01__O001++seq__8ec658be365180b783c2__2023-04-13-19-04-55,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the large black and yellow striped bottle.,12.008
prim:scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02:15,atomic-substep,primitive_task,Hold the tongs to the position.,用手抓握夹子并保持位置。,161.608,163.708,scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02,hold,tongs,retrieve,OakInk2,OakInk2,full,hold the tongs to the position.,2.1
prim:scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02:16,atomic-substep,primitive_task,Grip the ice cube with the tongs from the plate to the green mug.,用夹子将冰块从碟子夹到绿色马克杯。,163.008,174.083,scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02,grip,cube,retrieve,OakInk2,OakInk2,full,grip the ice cube with the tongs from the plate to the green mug.,11.075
prim:scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02:6,atomic-substep,primitive_task,Screw the cap onto the large black and yellow striped bottle.,拧紧大的黑黄条纹瓶的盖子。,82.883,94.992,scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the large black and yellow striped bottle.,12.109
prim:scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02:7,atomic-substep,primitive_task,Uncap the gray-green porcelain bottle.,掀开灰绿色瓷瓶的盖子。,97.058,105.967,scene_01__O001++seq__97fc3dab0aa577c392a5__2023-04-13-20-53-02,uncap,bottle,access,OakInk2,OakInk2,full,uncap the gray-green porcelain bottle.,8.909
prim:scene_02__A001++seq__1c29fc5cfe3b18c6b6ea__2023-04-22-16-25-53:9,atomic-substep,primitive_task,Place the scissors inside the box.,将剪刀放入盒子。,83.625,91.1,scene_02__A001++seq__1c29fc5cfe3b18c6b6ea__2023-04-22-16-25-53,place,scissors,leave,OakInk2,OakInk2,full,place the scissors inside the box.,7.475
prim:scene_02__A001++seq__3599b99612c08fedc88a__2023-04-15-18-43-51:0,atomic-substep,primitive_task,Remove the usb stick from the usb hub.,将usb从usb扩展坞上移除。,15.075,31.817,scene_02__A001++seq__3599b99612c08fedc88a__2023-04-15-18-43-51,remove,stick,manipulate,OakInk2,OakInk2,full,remove the usb stick from the usb hub.,16.742
prim:scene_02__A001++seq__66c7f4768cf9bbf6c031__2023-04-15-18-56-56:0,atomic-substep,primitive_task,Shear paper with the stapler.,用剪刀剪纸,12.283,61.792,scene_02__A001++seq__66c7f4768cf9bbf6c031__2023-04-15-18-56-56,shear,paper,manipulate,OakInk2,OakInk2,full,shear paper with the stapler.,49.509
prim:scene_02__A001++seq__9a05b3d7644ba1a5d470__2023-04-18-14-49-54:2,atomic-substep,primitive_task,Place the tape inside the box.,将胶带放入盒子。,32.333,40.508,scene_02__A001++seq__9a05b3d7644ba1a5d470__2023-04-18-14-49-54,place,tape,leave,OakInk2,OakInk2,full,place the tape inside the box.,8.175
prim:scene_02__A001++seq__a3323f998334c09c8f2f__2023-04-22-15-48-41:2,atomic-substep,primitive_task,Put the flower into the vase.,将花放入花瓶,28.458,34.525,scene_02__A001++seq__a3323f998334c09c8f2f__2023-04-22-15-48-41,put,flower,leave,OakInk2,OakInk2,full,put the flower into the vase.,6.067
prim:scene_02__A001++seq__a3323f998334c09c8f2f__2023-04-22-15-48-41:9,atomic-substep,primitive_task,Open the lid of the laptop.,打开笔记本电脑盖子,87.033,93.442,scene_02__A001++seq__a3323f998334c09c8f2f__2023-04-22-15-48-41,open,lid,access,OakInk2,OakInk2,full,open the lid of the laptop.,6.409
prim:scene_02__A001++seq__b7b34c5faa439935f1e4__2023-04-22-16-16-39:0,atomic-substep,primitive_task,Write with the pencil on the paper.,用铅笔在纸上书写。,11.7,39.425,scene_02__A001++seq__b7b34c5faa439935f1e4__2023-04-22-16-16-39,write,paper,manipulate,OakInk2,OakInk2,full,write with the pencil on the paper.,27.725
prim:scene_02__A001++seq__c5e7e1c63f986d3907a2__2023-04-18-14-46-59:1,atomic-substep,primitive_task,Hold the laptop to the position.,用手抓握笔记本电脑并保持位置。,15.475,19.742,scene_02__A001++seq__c5e7e1c63f986d3907a2__2023-04-18-14-46-59,hold,laptop,retrieve,OakInk2,OakInk2,full,hold the laptop to the position.,4.267
prim:scene_02__A001++seq__cebe99032fc48d6e5bd9__2023-04-15-19-59-32:4,atomic-substep,primitive_task,Use the gamecontroller to control the laptop.,用游戏手柄控制笔记本电脑。,55.192,69.733,scene_02__A001++seq__cebe99032fc48d6e5bd9__2023-04-15-19-59-32,use,gamecontroller,manipulate,OakInk2,OakInk2,full,use the gamecontroller to control the laptop.,14.541
prim:scene_02__A001++seq__e6d2be38fe14846654b2__2023-04-22-14-20-56:3,atomic-substep,primitive_task,Cap the pen.,盖上笔盖,44.892,57.3,scene_02__A001++seq__e6d2be38fe14846654b2__2023-04-22-14-20-56,cap,pen,access,OakInk2,OakInk2,full,cap the pen.,12.408
prim:scene_02__A001++seq__e78166802df1a79107b6__2023-04-15-19-11-07:2,atomic-substep,primitive_task,Push in the drawer.,合上抽屉,38.525,47.5,scene_02__A001++seq__e78166802df1a79107b6__2023-04-15-19-11-07,push,drawer,access,OakInk2,OakInk2,full,push in the drawer.,8.975
prim:scene_02__A001++seq__f1029b6690be6153cd26__2023-04-15-19-54-18:7,atomic-substep,primitive_task,Use the mouse to control the laptop.,用鼠标控制笔记本电脑。,72.75,77.95,scene_02__A001++seq__f1029b6690be6153cd26__2023-04-15-19-54-18,use,mouse,manipulate,OakInk2,OakInk2,full,use the mouse to control the laptop.,5.2
prim:scene_02__A001++seq__f1114564625b503789c8__2023-04-15-19-56-33:5,atomic-substep,primitive_task,Remove the power plug of the laptop.,移除笔记本电脑的电源插头。,53.617,61.792,scene_02__A001++seq__f1114564625b503789c8__2023-04-15-19-56-33,remove,plug,manipulate,OakInk2,OakInk2,full,remove the power plug of the laptop.,8.175
prim:scene_02__A001++seq__f639df32f29fdc405c2a__2023-04-18-14-51-24:0,atomic-substep,primitive_task,Press the button on the lamp.,按下台灯上的按钮。,11.658,14.1,scene_02__A001++seq__f639df32f29fdc405c2a__2023-04-18-14-51-24,press,button,access,OakInk2,OakInk2,full,press the button on the lamp.,2.442
prim:scene_02__A001++seq__f639df32f29fdc405c2a__2023-04-18-14-51-24:3,atomic-substep,primitive_task,Put on the box lid.,盖上盒子盖子,41.617,50.458,scene_02__A001++seq__f639df32f29fdc405c2a__2023-04-18-14-51-24,put,lid,leave,OakInk2,OakInk2,full,put on the box lid.,8.841
prim:scene_02__A001++seq__fbc7482529e4350bba74__2023-04-22-16-10-37:0,atomic-substep,primitive_task,Remove the pen cap.,移除笔盖,9.275,21.425,scene_02__A001++seq__fbc7482529e4350bba74__2023-04-22-16-10-37,remove,cap,manipulate,OakInk2,OakInk2,full,remove the pen cap.,12.15
prim:scene_02__A002++seq__2d16964fcd4c9bf292fe__2023-04-17-14-39-28:0,atomic-substep,primitive_task,Rearrange the lamp from one position to another position.,将台灯从一个位置移动到另一个位置。,7.092,11.0,scene_02__A002++seq__2d16964fcd4c9bf292fe__2023-04-17-14-39-28,rearrange,lamp,manipulate,OakInk2,OakInk2,full,rearrange the lamp from one position to another position.,3.908
prim:scene_02__A002++seq__2d16964fcd4c9bf292fe__2023-04-17-14-39-28:1,atomic-substep,primitive_task,Remove the lightbulb from the lamp.,将灯泡从设备上卸下,15.967,31.608,scene_02__A002++seq__2d16964fcd4c9bf292fe__2023-04-17-14-39-28,remove,lightbulb,manipulate,OakInk2,OakInk2,full,remove the lightbulb from the lamp.,15.641
prim:scene_02__A002++seq__2d54f09a2be744b05fc3__2023-04-17-15-08-33:1,atomic-substep,primitive_task,Hold pen cap to the position.,用手抓握笔盖并保持位置。,12.083,17.625,scene_02__A002++seq__2d54f09a2be744b05fc3__2023-04-17-15-08-33,hold,cap,retrieve,OakInk2,OakInk2,full,hold pen cap to the position.,5.542
prim:scene_02__A002++seq__2d54f09a2be744b05fc3__2023-04-17-15-08-33:3,atomic-substep,primitive_task,Cap the pen.,盖上笔盖,17.625,23.192,scene_02__A002++seq__2d54f09a2be744b05fc3__2023-04-17-15-08-33,cap,pen,access,OakInk2,OakInk2,full,cap the pen.,5.567
prim:scene_02__A002++seq__3858fe09a5a39a86248e__2023-04-17-14-49-58:0,atomic-substep,primitive_task,Remove the usb stick from the laptop.,将usb从笔记本电脑上移除。,6.108,10.208,scene_02__A002++seq__3858fe09a5a39a86248e__2023-04-17-14-49-58,remove,stick,manipulate,OakInk2,OakInk2,full,remove the usb stick from the laptop.,4.1
prim:scene_02__A002++seq__5c41eca99a8f68254e0d__2023-04-17-14-51-05:0,atomic-substep,primitive_task,Open the lid of the laptop.,打开笔记本电脑盖子,5.3,9.942,scene_02__A002++seq__5c41eca99a8f68254e0d__2023-04-17-14-51-05,open,lid,access,OakInk2,OakInk2,full,open the lid of the laptop.,4.642
prim:scene_02__A002++seq__73d28bc9b0c2cf63b829__2023-04-17-15-00-12:2,atomic-substep,primitive_task,Put on the box lid.,盖上盒子盖子,18.775,23.817,scene_02__A002++seq__73d28bc9b0c2cf63b829__2023-04-17-15-00-12,put,lid,leave,OakInk2,OakInk2,full,put on the box lid.,5.042
prim:scene_02__A002++seq__908a1edaf860b6977ee0__2023-04-17-15-03-51:0,atomic-substep,primitive_task,Pull out the drawer.,拉开抽屉,7.883,13.875,scene_02__A002++seq__908a1edaf860b6977ee0__2023-04-17-15-03-51,pull,drawer,retrieve,OakInk2,OakInk2,full,pull out the drawer.,5.992
prim:scene_02__A004++seq__17716831a0aebbef3d65__2023-04-26-20-28-09:1,atomic-substep,primitive_task,Rearrange the usb hub from one position to another position.,将usb扩展坞从一个位置移动到另一个位置。,17.075,18.542,scene_02__A004++seq__17716831a0aebbef3d65__2023-04-26-20-28-09,rearrange,hub,manipulate,OakInk2,OakInk2,full,rearrange the usb hub from one position to another position.,1.467
prim:scene_02__A004++seq__1a81a62693413b1d5c8c__2023-04-26-20-19-25:2,atomic-substep,primitive_task,Hold the lamp to the position.,用手抓握台灯并保持位置。,40.417,49.317,scene_02__A004++seq__1a81a62693413b1d5c8c__2023-04-26-20-19-25,hold,lamp,retrieve,OakInk2,OakInk2,full,hold the lamp to the position.,8.9
